id,文本,真实类别,预测类别,多预测的类别,少预测的类别
1248,本赛季的欧冠冠军已经出炉，利物浦击败热刺登顶。,竞赛行为-胜负,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-夺冠,
1271,中国女排3-0战胜缺少六大主力的塞尔维亚女排，把自己在本届世界杯上的战绩，提高到10连胜，从而提前一轮夺取本届赛事的冠军，卫冕成功,竞赛行为-胜负,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-夺冠,
1306,众所周知，最近世界军运会正在火热的进行中，在国球也就是乒乓球项目上中国队在决赛中战胜了朝鲜队，拿下了乒乓球男团的冠军荣誉，获得冠军后中国国旗也在赛场中高高的升起，教练和选手们都直起身板敬了个礼。,竞赛行为-胜负,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-夺冠,
583,至于新科美网冠军安德莱斯库首盘3-6后，因为膝盖伤势遗憾退赛，因而小组仅剩余一个四强席位，将由哈勒普与普利斯科娃展开争夺，两人之间的胜者以小组第2名晋级半决赛。,竞赛行为-退赛,"竞赛行为-晋级,竞赛行为-退赛",竞赛行为-晋级,
1264,半决赛英格兰女足1-2不敌卫冕冠军美国女足，无缘决赛。该战英格兰女足呈现出十足的韧性，两度落后的情况下两度扳平对手，可惜第二粒进球被判越位在先无效，之后虽然获得宝贵的点球，但没有把握住。英格兰女足上轮虽败犹荣，回顾她们本届世界杯的表现，小组赛三战全胜，踢进5球仅丢1球，头名出线；淘汰赛先后以3-0的比分击败喀麦隆女足和挪威女足，呈现出良好的攻守体系。,竞赛行为-胜负,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,
1281,5月1日，足协杯第四轮淘汰赛天津天海主场对阵石家庄永昌的比赛在天津团泊体育场展开，沈祥福此役轮换了上轮联赛中全部的首发球员，上半时雷纳尔迪尼奥和张成林分别为天津天海队的进球，为石家庄永昌队打入一球的则是球队头号外援穆里奇，下半时经过换人调整后天津天海队在一次定位球防守中出现漏人情况，被对手扳平比分。2:2的比分也将比赛拖入点球决战，最终天津天海6:5淘汰对手，成功晋级足协杯第五轮。,竞赛行为-胜负,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,
1301,上届欧冠打入四强的阿贾克斯，惊涛骇浪下以3：2险胜希腊球队塞萨洛尼基。,竞赛行为-胜负,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,
1371,在今天结束一场东部半决赛的争夺当中，最终凯尔特人在主场以101:113不敌雄鹿队，雄鹿队系列赛3:1拿到了赛点，在下一场比赛雄鹿队回到主场，如果战胜绿军就可以以4:1的比分晋级东部决赛，本场比赛字母哥爆砍39分16篮板4助攻的数据，带领着球队客场拿下对手凯尔特人，凯尔特人队对于字母哥内线进攻毫无办法。,竞赛行为-胜负,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,
1409,8月17日，保加利亚公开赛进行了男单女单的四强赛。女单比赛可以用中日对决来形容。国乒和日乒各有3名运动员投入四强赛，结果国乒大胜。,竞赛行为-胜负,"竞赛行为-晋级,竞赛行为-胜负",竞赛行为-晋级,
675,每日篮球资讯精选｜冲动的惩罚！保罗被罚三万五，免遭禁赛,司法行为-罚款,"竞赛行为-禁赛,司法行为-罚款",竞赛行为-禁赛,
572,中国男篮对战巴西，郭艾伦坐稳亚洲第一控卫，周琦伤退易建联发威,竞赛行为-退赛,"竞赛行为-退赛,竞赛行为-胜负",竞赛行为-胜负,
849,火箭首先将所有球员摆上交易架，后来问询的人不多，而且交易价值不大，随后火箭管理层开始一步一步澄清，来消减球员心中的不满，而个人认为火箭很想交易走的是保罗和卡佩拉，最后以为火箭不会有太大的变化，但是最后由于雷霆发生变化，火箭有机会得到威少，而雷霆也十分讲义气，只要了一份火箭能够给的筹码，顺便还帮助火箭处理掉了保罗，火箭得到威少可以说是他们需要的改变，保罗的加盟并没有让火箭冲击到总决赛，更别说总冠军了，他们在常规赛一直都压着勇士，但是两年都被勇士淘汰！,组织关系-加盟,"组织关系-加盟,竞赛行为-胜负",竞赛行为-胜负,
1025,台湾17岁小将今天在T2钻石联赛马来西亚站，和中国大陆22岁名将樊振东争夺冠军，以11：7、11：4、8：11 、11：5、5：0收下冠军,竞赛行为-夺冠,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,
1026,世锦赛孙杨勇夺第十金 霍顿输不起拒上领奖台,竞赛行为-夺冠,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,
1039,恭喜eSterPro斩获kpl春季赛冠军，4比2力压东部第二ENG.M,竞赛行为-夺冠,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,
1052,台北小将力克我国名将樊振东夺冠,竞赛行为-夺冠,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,
1059,特鲁姆普在刚刚结束的斯诺克世锦赛决赛中以18-9击败”巫师“希金斯夺得了自己的首个世锦赛冠军，而比赛的过程波澜不惊，特鲁姆普一直都完全掌控着比赛一直到结束。,竞赛行为-夺冠,"竞赛行为-夺冠,竞赛行为-胜负",竞赛行为-胜负,
472,糟糕！恒大悍将因伤退出国家队，北京国安8人入选成大赢家,组织关系-退出,"组织关系-退出,竞赛行为-退赛",竞赛行为-退赛,
482,如何看待“恒大国脚因伤退出国足后迅速在联赛复出”这个热议话题,组织关系-退出,竞赛行为-退赛,竞赛行为-退赛,组织关系-退出
1265,8月17日凌晨3点西甲联赛19-20赛季正式开打，有毕巴坐镇主场迎战巴萨为揭幕战！本场比赛梅西因伤缺阵，苏牙伤退，最终巴萨0:1憾负毕尔巴鄂，巴萨遭遇开门黑！,竞赛行为-胜负,"竞赛行为-退赛,竞赛行为-胜负",竞赛行为-退赛,
1392,北京时间6月11日，总决赛G5在猛龙的主场进行，勇士到客场挑战猛龙队，最后比分是106-105勇士险胜猛龙1分，在第二节比赛不到3分钟杜兰特就因为小腿跟腱受伤退赛之后，库里和汤普森就扛起了球场进攻的重担，之后库里和汤普森在比赛中真的是倾其所有。,竞赛行为-胜负,"竞赛行为-退赛,竞赛行为-胜负",竞赛行为-退赛,
1405,梅西助攻+伤退！巴萨2-1取胜 曼城阿森纳联赛杯大胜晋级 尤文逆转,"竞赛行为-晋级,竞赛行为-胜负","竞赛行为-晋级,竞赛行为-退赛,竞赛行为-胜负",竞赛行为-退赛,
153,6月3日，36岁的谢婷婷昨天（6月2日）透过社交网宣布已为人母。,人生-产子/女,竞赛行为-退役,竞赛行为-退役,人生-产子/女
486,新专辑活动将有李赫宰、金希澈、李东海、利特、金钟云、神童、崔始源、厉旭、圭贤九名成员参加，这也是圭贤退伍后第一次回归的专辑。,组织关系-退出,竞赛行为-退役,竞赛行为-退役,组织关系-退出
1196,何洁回应出轨门，称自己生三胎为了保护生命,人生-出轨,"人生-出轨,人生-产子/女",人生-产子/女,
998,马伊琍和文章离婚了！面对出轨的男人，考虑这五个问题有用么？,人生-离婚,"人生-出轨,人生-离婚",人生-出轨,
1005,最近，文章和马伊俐离婚了，那个当初在文章出轨的时候忍下所有的伤痛，在微博发了，婚姻不易，且行且珍惜的金句，终究没有逃过离婚的命运。,人生-离婚,"人生-出轨,人生-离婚",人生-出轨,
684,李荣浩趁着生日时向女友杨丞琳求婚，闪瞎粉丝，歌手潘玮柏与杨丞琳私交超好，不过对于他们的订婚消息，坦言也是看到李荣浩的PO文才知道，没有事先知情，第一反应是「怎么可能」接着就闹杨丞琳说：「你也有今天。」还透露他和杨丞琳和李荣浩三个人有一个群组，不过他都在裡面骂杨丞琳，而李荣浩就只会回：「哈哈。」,人生-求婚,"人生-订婚,人生-求婚",人生-订婚,
689,奚梦瑶被求婚后首度现身！平坦肚腹引人猜疑，已低调摘下订婚戒指,人生-求婚,"人生-订婚,人生-求婚",人生-订婚,
628,"对于胡杏儿大家并不陌生，曾经与黄宗泽的爱情混混烈烈，但最终依旧没有在一起，在面对这样的事情，胡杏儿并没有失去对爱情的憧憬，在2015年的时候与李承德举行了婚礼，如今生活幸福美满。
就在近期，港媒也是拍到有8个月孕肚的胡杏儿现身街头，不过此次现身的她戴着棒球帽和黑色口罩，捂得是非常严实，大家眼中的小可爱李奕霆此次也同妈妈一起现身，看看这个小可爱待在李承德的表姐怀中也是非常的乖巧。","人生-结婚,人生-怀孕",人生-婚礼,人生-婚礼,"人生-怀孕,人生-结婚"
156,熊女士告诉记者，自己儿子好不容易结了婚，结果儿媳妇王某临到结婚还有几天了，居然生下了一个孩子，然而这个孩子并不是儿子的！,人生-产子/女,"人生-产子/女,人生-结婚",人生-结婚,
972,《回家的诱惑》已经开播有8年了，2011年《回家的诱惑》收视火爆，捧红了一众演员，而8年后，剧中的主演们也都有了各自全新的生活，饰演女主的“林品如”秋瓷炫，嫁给了好男人于晓光，并且两人还补办了婚礼。,人生-婚礼,"人生-婚礼,人生-结婚",人生-结婚,
1117,拿到钱后不到一个月，刘忠林就和认识不久的小他22岁的女朋友结了婚，婚后半年他又要起诉离婚，因为他认为老婆和他结婚就是为了骗他的财产（这个在他结婚以前大家就应该是这么想的了吧）,"司法行为-起诉,人生-结婚","司法行为-起诉,人生-离婚,人生-结婚",人生-离婚,
19,冲刺千亿的美的置业贵阳项目倒塌致8人死亡 已责令全面停工,灾害/意外-坍/垮塌,"灾害/意外-坍/垮塌,人生-死亡",人生-死亡,
377,截至8月10日下午3时30分，永嘉县岩坦镇山早村新发现5名遇难者，其中2人为原失联人员，3人为新发现人员。,人生-失联,"人生-失联,人生-死亡",人生-死亡,
453,中新网柳州8月5日电(朱柳融 谭凯兴)广西柳州市融安县警方8月5日通报，该县3日发生一起致两死两伤的重大刑事案件，目前犯罪嫌疑人韦元佩已被警方抓获。,司法行为-拘捕,"司法行为-拘捕,人生-死亡",人生-死亡,
520,30日，南航发布声明表示，美国中部时间2019年7月28日17时许，美国德克萨斯州USAG航校丹顿校区一架双发螺旋桨飞机执行飞行训练任务时坠毁，机上一名南航委托培养的飞行员和一名航校飞行教员不幸遇难。目前，USAG航校已暂停中国学员全部飞行训练，并对学员进行心理疏导。,灾害/意外-坠机,"灾害/意外-坠机,人生-死亡",人生-死亡,
881,2001年11月13日，美军使用捕食者无人机，配合3架空军战斗机精确打击了“基地”组织二号头目阿提夫的临时住所，成功将其击毙。1年之后，在2002年11月3日，美军再次使用无人机突袭了“基地”组织在也门的一个车队，击毙其重要头目哈西里，这是无人机首次单独执行跨境攻击任务，并取得圆满成功。,灾害/意外-袭击,"灾害/意外-袭击,人生-死亡",人生-死亡,
1094,相信很多人还记得，今年6月19日，发生在如皋市区的一起导致一死两伤的交通肇事逃逸案件，一辆汽车撞飞两辆电动车后逃之夭夭，肇事司机最终落网。目前，这起案件有了新的进展，肇事司机李某因涉嫌以危险方法危害公共安全罪被提起公诉。,"司法行为-拘捕,司法行为-起诉,灾害/意外-车祸","司法行为-拘捕,司法行为-起诉,人生-死亡,灾害/意外-车祸",人生-死亡,
1496,17日22时55分，四川宜宾市长宁县发生6.0级地震，余震不断，已经造成13死199伤，长宁被困14人已经全部救出。,灾害/意外-地震,"灾害/意外-地震,人生-死亡",人生-死亡,
400,日照发生车祸，死亡五人？造谣传谣者被拘,司法行为-拘捕,"司法行为-拘捕,人生-死亡,灾害/意外-车祸","人生-死亡,灾害/意外-车祸",
798,大河财立方消息10月31日，深交所发布关注函称，关注到暴风集团除已被批准逮捕的总经理冯鑫外，公司高级管理人员已全部辞职，协助信息披露事务的证券事务代表也已辞职，要求公司尽快聘任相关高级管理人员，确保经营稳定。,组织关系-辞/离职,"司法行为-拘捕,组织关系-辞/离职",司法行为-拘捕,
1009,近日世界国际象棋联合会宣布，在法国进行的一场比赛中，象棋大师伊戈尔被抓到作弊。他被发现在比赛期间使用藏在卫生间里的手机，伊戈尔承认了自己的作弊行为。此前他成绩窜升，世界排名53位，被质疑作弊。这次人赃俱获，他表示“鬼迷了心窍”。目前他已被禁赛处理。,竞赛行为-禁赛,"司法行为-拘捕,竞赛行为-禁赛",司法行为-拘捕,
960,近日，湖南新晃“校园埋尸案”引发关注的同时，另外一起发生在湖南益阳的陈年旧案再次进入公众视野——2002年4月26日，益阳赫山区教师李尚平被枪杀，家属和坊间传言认为他的死也与一起举报事件相关，该案时至今日未结案。,人生-死亡,"司法行为-举报,人生-死亡",司法行为-举报,
740,10月13日媒体报道，11日至12日全国扫黑除恶专项斗争第二次推进会上传出的消息称，近日将开庭再审孙小果案，将公布湖南操场埋尸杀人案查办进展情况。10月17日，华商报记者从操场埋尸案遇害者邓世平家属处获悉，该案侦查终结，目前已经移送检察机关审查起诉。,司法行为-起诉,"司法行为-起诉,司法行为-开庭",司法行为-开庭,
999,关心宋慧乔的网友都知道，7月22号的时候宋慧乔和宋仲基离婚案在首尔家庭法院开庭进行离婚调解，两人已经依法离婚了。,人生-离婚,"人生-离婚,司法行为-开庭",司法行为-开庭,
1432,记者从西安市临潼区人民法院获悉，昨天上午，该院公开审理被告人张某峰盗掘古墓葬一案。张某峰犯盗掘古墓葬罪当庭被判处有期徒刑10年8个月，并处罚金5万元。,"司法行为-入狱,司法行为-罚款","司法行为-入狱,司法行为-罚款,司法行为-开庭",司法行为-开庭,
949,近日，有媒体报道称，20年前昭通巧家县一村民被打致死，立案与否没说法。,人生-死亡,"司法行为-立案,人生-死亡",司法行为-立案,
714,Papi酱旗下博主回应起诉：版权意识不强 已下架,产品行为-下架,"司法行为-起诉,产品行为-下架",司法行为-起诉,
679,新华社武汉7月4日电（记者梁建强）注册会员多达17715人次，直接或者间接收取参与传销活动人员缴纳的传销资金数额总计4292余万元，一传销团伙在全国各地大肆发展会员。记者4日从湖北省高级人民法院获悉，历经一审、二审程序审理，涉案的14名被告近日均被判处有期徒刑并处罚金。,司法行为-罚款,"司法行为-入狱,司法行为-罚款",司法行为-入狱,
920,杀死路人并分尸 男子被判死刑,人生-死亡,"司法行为-入狱,人生-死亡",司法行为-入狱,
933,2018年8月，22岁“网红”舞蹈教师在浙江慈溪一夹娃娃机前被前男友割喉身亡。今天，该案在宁波市中级人民法院一审宣判，吴某栋被判被判处死刑，剥夺政治权利终生。,人生-死亡,"司法行为-入狱,人生-死亡",司法行为-入狱,
678,6月27日，甘肃省高级人民法院发布消息称，日前，小陇山林区法院开庭审理了一起非法猎捕、杀害珍贵、濒危野生动物刑事附带民事公益诉讼案件，被告人暨附带民事公益诉讼被告赵某犯非法猎捕、杀害珍贵、濒危野生动物罪被依法当庭判处有期徒刑1年2个月，缓刑1年6个月，并处罚金1000元；判处被告偿付野生动物资源损失费5.3万元和司法鉴定费750元，并在市级以上媒体上公开赔礼道歉。,"司法行为-罚款,司法行为-开庭","司法行为-开庭,司法行为-入狱,司法行为-罚款,交往-道歉","司法行为-入狱,交往-道歉",
1180,这段时间，遵义市境内多地早餐价格再度受到关注，习水县、绥阳县市场监管部门还先后以发通知、约谈等方式，对个别早餐经营户试图集体涨价的行为，进行警告，并责令已涨价的早餐店“降回去”。,财经/交易-涨价,司法行为-约谈,司法行为-约谈,财经/交易-涨价
879,睚眦必报：黑门山被炸，以色列空军猛烈还击，反杀叙利亚导弹基地,灾害/意外-袭击,灾害/意外-爆炸,灾害/意外-爆炸,灾害/意外-袭击
912,5月1日17时许，四川成都天府新区一室外游乐场“孩子的院子”发生安全事故，致12伤2亡。,人生-死亡,"人生-死亡,灾害/意外-车祸",灾害/意外-车祸,
962,10岁男孩撞上卷帘门后，触电身亡！门上怎么会有电？！,人生-死亡,"人生-死亡,灾害/意外-车祸",灾害/意外-车祸,
888,京阿尼火灾一名女性受伤者重伤去世，至此，火灾遇难者36人,人生-死亡,"灾害/意外-起火,人生-死亡",灾害/意外-起火,
959,川崎男子刀砍19人后自刎 被曝51岁和伯父母同住,人生-死亡,灾害/意外-袭击,灾害/意外-袭击,人生-死亡
961,当地时间5月28日上午7点40分前后，一名男子在日本神奈川县川崎市登户新町公园附近的路上接连用刀刺伤多名等候小车的学生，目前已导致2人死亡，被刺者达19人。凶手已割颈自杀，送医后不治身亡。,人生-死亡,"灾害/意外-袭击,人生-死亡",灾害/意外-袭击,
1441,本来是想要夺得冠军，但是遗憾的是，再经过十场常规比赛以后，安东尼就被火箭队送到了老鹰，还没有在对内呆多久、熟悉新的环境和队员，就被火箭队残酷的裁掉了，到现在都还没有找到新的球队，可以说是非常的遗憾的事情。,组织关系-解雇,"组织关系-解雇,组织关系-加盟,组织关系-解约","组织关系-加盟,组织关系-解约",
3,据猛龙随队记者Josh Lewenberg报道，消息人士透露，猛龙已将前锋萨加巴-科纳特裁掉。此前他与猛龙签下了一份Exhibit 10合同。在被裁掉后，科纳特下赛季大概率将前往猛龙的发展联盟球队效力。,"组织关系-裁员,组织关系-加盟","组织关系-解雇,组织关系-加盟",组织关系-解雇,组织关系-裁员
4,冠军射手被裁掉，欲加入湖人队，但湖人却无意，冠军射手何去何从,组织关系-裁员,组织关系-解雇,组织关系-解雇,组织关系-裁员
1437,就在今天，英冠俱乐部斯托克城宣布与西班牙籍球员博扬解约，在双方仍有一年合约的前提下，斯托克城不惜以不给其在新赛季报名为要挟，强行结束了与这位昔日天才的合约。,组织关系-解雇,组织关系-解约,组织关系-解约,组织关系-解雇
834,#体坛日日谈#今日，西乙拉斯帕尔马斯队官方宣布，北京国安外援比埃拉租借加盟球队，租期至2019年12月31日，并将在之后回归国安。随后国安俱乐部也发布比埃拉租借离队的官方公告。,组织关系-加盟,"组织关系-退出,组织关系-加盟",组织关系-退出,
852,近日，大连一方官方宣布，周军将不再担任球队经理，后者将返回他奋战多年的申花，担任总经理一职。,组织关系-加盟,组织关系-退出,组织关系-退出,组织关系-加盟
923,南韩艺人雪莉（Sulli，本名崔真理）被发现在自宅轻生，花样年华般的25岁生命止于14日，她以童星出道，后来成为女团f(x)一份子，自杀噩耗一出，前队友Luna（本名朴善英）也通过经纪公司宣布退出音乐剧演出，让一票粉丝相当心疼及担心。,人生-死亡,组织关系-退出,组织关系-退出,人生-死亡
340,1905电影网讯《蜘蛛侠：英雄远征》近日在京举办了新闻发布会与粉丝见面会。导演乔·沃茨携“蜘蛛侠”汤姆·赫兰德与“神秘客”杰克·吉伦哈尔亮相。三位主创与媒体、粉丝畅谈了影片幕后制作趣事，还在现场与粉丝热情互动，全场高喊“我爱你3000遍”，中国之行在欢呼声中落下帷幕。电影将于6月28日提前北美4日率先登陆中国，剧情承接“复联4”，蜘蛛侠劫后重生征战欧洲。,产品行为-上映,组织行为-闭幕,组织行为-闭幕,产品行为-上映
1063,NBA已落下帷幕，最重要也是最后一件事情，那就是总冠军庆典，不过这只是属于猛龙球员的节日，与他人无关。,竞赛行为-夺冠,组织行为-闭幕,组织行为-闭幕,竞赛行为-夺冠
222,8月2日消息，2019年中国国际数码互动娱乐展览会（2019 ChinaJoy）今天在上海正式拉开帷幕。其间，OPPO首次亮相ChinaJoy，展示了多项全新的手游技术，并携手腾讯游戏《和平精英》开展“百人精英挑战赛”。,产品行为-发布,组织行为-开幕,组织行为-开幕,产品行为-发布
319,在日前开幕的2019年深港澳车展上，新款雷克萨斯RX正式亮相。新车为一款中大型SUV，并且为中期改款车型，新车在内饰以及外观方面均进行了较大幅度的调整以及升级，整体相比现款车型看上去更为时尚也更具视觉冲击力。,产品行为-发布,"组织行为-开幕,产品行为-发布",组织行为-开幕,
12,有多名魅族员工表示，从6月份开始，魅族开始了新一轮裁员，重点裁员区域是营销和线下。裁员占比超过30%，剩余员工将不过千余人，魅族的知名工程师，爱讲真话的洪汉生已经从钉钉里退出了，外界传言说他去了OPPO。,"组织关系-退出,组织关系-裁员",组织关系-裁员,,组织关系-退出
18,美的置业：贵阳项目挡墙垮塌致8人遇难 已责令全面停工,"灾害/意外-坍/垮塌,人生-死亡",灾害/意外-坍/垮塌,,人生-死亡
113,从三门峡市应急管理局获悉：截至7月19日21时20分，河南省煤气（集团）有限责任公司义马气化厂爆炸事故已造成2人死亡，12人失联，重伤18人（目前生命体征平稳），现场救援正在紧张进行中。,"灾害/意外-爆炸,人生-失联,人生-死亡","灾害/意外-爆炸,人生-死亡",,人生-失联
144,近年来，中国男篮处于青蓝交接的时期，继2008年北京奥运会之后，如姚明、王治郅、王仕鹏、朱芳雨、李楠、杜锋等国手纷纷退役，中国男篮在国际赛事上战绩一度跌入谷底，曾经在主场大败给哈达迪带领的伊朗男篮，在2013年亚锦赛爆冷输给中华台北无缘四强，直至姚明近几年的改革之后，男篮的战绩才有所起色。,"竞赛行为-退役,竞赛行为-胜负",竞赛行为-胜负,,竞赛行为-退役
338,昨日，《小小的愿望》主演彭昱畅、魏大勋代表剧组，为即将于9月12日上映的电影预热，进行了一天的媒体探班活动。,"产品行为-上映,交往-探班",交往-探班,,产品行为-上映
473,YOLO打人事件：Jony J退出！小白哥道歉！,"组织关系-退出,交往-道歉",交往-道歉,,组织关系-退出
476,前不久，我们报道了全球知名主播ninja和知名FPS主播Shroud离开Twitch并前往微软旗下Mixer直播平台的相关消息。,"组织关系-退出,组织关系-加盟",组织关系-退出,,组织关系-加盟
512,7月14日，一架载有跳伞爱好者的旅游专机，在瑞典北部城市于默奥周边的一座岛屿附近坠落，机上9人全部遇难。,"灾害/意外-坠机,人生-死亡",灾害/意外-坠机,,人生-死亡
516,美国夏威夷州瓦胡岛21日发生小型飞机坠毁事故，11人死亡。,"灾害/意外-坠机,人生-死亡",灾害/意外-坠机,,人生-死亡
518,又一起坠机事故发生，美国居民区燃起熊熊大火，机上人员已经丧生,"灾害/意外-起火,灾害/意外-坠机,人生-死亡","灾害/意外-起火,灾害/意外-坠机",,人生-死亡
521,据美国媒体报道，一架小型飞机8日在纽约州长岛坠毁，事故导致机上2人死亡。,"灾害/意外-坠机,人生-死亡",灾害/意外-坠机,,人生-死亡
533,Coach道歉：全球范围内下架所涉商品,"产品行为-下架,交往-道歉",产品行为-下架,,交往-道歉
578,惊心动魄，跌宕起伏，在杜兰特意外伤退的绝境下，勇士主场拿下天王山之战，系列赛3-2领先夺得赛点。,"竞赛行为-退赛,竞赛行为-胜负",竞赛行为-退赛,,竞赛行为-胜负
599,景甜宣布与张续科分手，能否盖过林志玲“下嫁”日本男的热搜呢？,"人生-分手,人生-结婚",人生-分手,,人生-结婚
828,率队夺冠！莱昂纳德无悔来到猛龙，西亚卡姆身披国旗参加发布会,"竞赛行为-夺冠,组织关系-加盟",竞赛行为-夺冠,,组织关系-加盟
832,蜕变！世界杯季军教头居内什回归后土耳其五战全胜,"组织关系-加盟,竞赛行为-胜负",竞赛行为-胜负,,组织关系-加盟
